,0
2021-11-29-CVR (SV),334
2021-12-6-CVR (SV),2221
2021-12-13-CVR (SV),2200
2021-12-20-CVR (SV),1950
2021-12-27-CVR (SV),2048
2019-12-30-CVR (BF),92
2020-1-6-CVR (BF),127
2020-1-13-CVR (BF),93
2020-1-20-CVR (BF),96
2020-1-27-CVR (BF),273
2020-2-3-CVR (BF),245
2020-2-10-CVR (BF),241
2020-2-17-CVR (BF),220
2020-2-24-CVR (BF),208
2020-3-2-CVR (BF),152
2020-3-9-CVR (BF),138
2020-3-16-CVR (BF),137
2020-4-13-CVR (BF),87
2020-4-20-CVR (BF),109
2020-4-27-CVR (BF),246
2020-5-4-CVR (BF),180
2020-5-11-CVR (BF),176
2020-5-18-CVR (BF),182
2020-5-25-CVR (BF),361
2020-6-1-CVR (BF),394
2020-6-8-CVR (BF),335
2020-6-15-CVR (BF),318
2020-6-22-CVR (BF),302
2020-6-29-CVR (BF),381
2020-7-6-CVR (BF),275
2020-7-13-CVR (BF),297
2020-7-20-CVR (BF),301
2020-7-27-CVR (BF),355
2020-8-3-CVR (BF),401
2020-8-10-CVR (BF),368
2020-8-17-CVR (BF),362
2020-8-24-CVR (BF),357
2020-8-31-CVR (BF),403
2020-9-7-CVR (BF),533
2020-9-14-CVR (BF),365
2020-9-21-CVR (BF),318
2020-9-28-CVR (BF),407
2020-10-5-CVR (BF),454
2020-10-12-CVR (BF),234
2020-10-19-CVR (BF),226
2020-10-26-CVR (BF),250
2020-11-2-CVR (BF),209
2020-11-9-CVR (BF),214
2020-11-16-CVR (BF),290
2020-11-23-CVR (BF),226
2020-11-30-CVR (BF),155
2020-12-7-CVR (BF),151
2020-12-14-CVR (BF),152
2020-12-21-CVR (BF),157
2020-12-28-CVR (BF),435
2021-1-4-CVR (BF),257
2021-1-11-CVR (BF),228
2021-1-18-CVR (BF),214
2021-1-25-CVR (BF),251
2021-2-1-CVR (BF),245
2021-2-8-CVR (BF),302
2021-2-15-CVR (BF),277
2021-2-22-CVR (BF),417
2021-3-1-CVR (BF),445
2021-3-8-CVR (BF),372
2021-3-15-CVR (BF),418
2021-3-22-CVR (BF),373
2021-3-29-CVR (BF),859
2021-4-5-CVR (BF),870
2021-4-12-CVR (BF),866
2021-4-19-CVR (BF),920
2021-4-26-CVR (BF),883
2021-5-3-CVR (BF),1017
2021-5-10-CVR (BF),965
