,0
2021-5-17-CVR (BF),906
2021-5-24-CVR (BF),1364
2021-5-31-CVR (BF),1334
2021-6-7-CVR (BF),1795
2021-6-14-CVR (BF),1451
2021-6-21-CVR (BF),1473
2021-6-28-CVR (BF),2882
2021-7-5-CVR (BF),2380
2021-7-12-CVR (BF),1599
2021-7-19-CVR (BF),2671
2021-7-26-CVR (BF),2152
2021-8-2-CVR (BF),2216
2021-8-9-CVR (BF),2136
2021-8-16-CVR (BF),2260
2021-8-23-CVR (BF),2300
2021-8-30-CVR (BF),2934
2021-9-6-CVR (BF),2224
2021-9-13-CVR (BF),2195
2021-9-20-CVR (BF),2177
2021-9-27-CVR (BF),2284
2021-10-4-CVR (BF),2367
2021-10-11-CVR (BF),2289
2021-10-18-CVR (BF),2141
2021-10-25-CVR (BF),2127
2021-11-1-CVR (BF),325
2021-11-8-CVR (BF),451
2021-11-15-CVR (BF),447
2021-11-22-CVR (BF),325
2021-11-29-CVR (BF),334
2021-12-6-CVR (BF),2221
2021-12-13-CVR (BF),2200
2021-12-20-CVR (BF),1950
2021-12-27-CVR (BF),2048
2019-12-30-Internet CVR (S),92
2020-1-6-Internet CVR (S),127
2020-1-13-Internet CVR (S),93
2020-1-20-Internet CVR (S),96
2020-1-27-Internet CVR (S),273
2020-2-3-Internet CVR (S),245
2020-2-10-Internet CVR (S),241
2020-2-17-Internet CVR (S),220
2020-2-24-Internet CVR (S),208
2020-3-2-Internet CVR (S),152
2020-3-9-Internet CVR (S),138
2020-3-16-Internet CVR (S),137
2020-4-13-Internet CVR (S),87
2020-4-20-Internet CVR (S),109
2020-4-27-Internet CVR (S),246
2020-5-4-Internet CVR (S),180
2020-5-11-Internet CVR (S),176
2020-5-18-Internet CVR (S),182
2020-5-25-Internet CVR (S),361
2020-6-1-Internet CVR (S),394
2020-6-8-Internet CVR (S),335
2020-6-15-Internet CVR (S),318
2020-6-22-Internet CVR (S),302
2020-6-29-Internet CVR (S),381
2020-7-6-Internet CVR (S),275
2020-7-13-Internet CVR (S),297
2020-7-20-Internet CVR (S),301
2020-7-27-Internet CVR (S),355
2020-8-3-Internet CVR (S),401
2020-8-10-Internet CVR (S),368
2020-8-17-Internet CVR (S),362
2020-8-24-Internet CVR (S),357
2020-8-31-Internet CVR (S),403
2020-9-7-Internet CVR (S),533
2020-9-14-Internet CVR (S),365
2020-9-21-Internet CVR (S),318
2020-9-28-Internet CVR (S),407
2020-10-5-Internet CVR (S),454
2020-10-12-Internet CVR (S),234
2020-10-19-Internet CVR (S),226
2020-10-26-Internet CVR (S),250
2020-11-2-Internet CVR (S),209
2020-11-9-Internet CVR (S),214
2020-11-16-Internet CVR (S),290
2020-11-23-Internet CVR (S),226
2020-11-30-Internet CVR (S),155
2020-12-7-Internet CVR (S),151
2020-12-14-Internet CVR (S),152
2020-12-21-Internet CVR (S),157
2020-12-28-Internet CVR (S),435
2021-1-4-Internet CVR (S),257
2021-1-11-Internet CVR (S),228
2021-1-18-Internet CVR (S),214
2021-1-25-Internet CVR (S),251
2021-2-1-Internet CVR (S),245
2021-2-8-Internet CVR (S),302
2021-2-15-Internet CVR (S),277
2021-2-22-Internet CVR (S),417
2021-3-1-Internet CVR (S),445
2021-3-8-Internet CVR (S),372
2021-3-15-Internet CVR (S),418
2021-3-22-Internet CVR (S),373
2021-3-29-Internet CVR (S),859
2021-4-5-Internet CVR (S),870
2021-4-12-Internet CVR (S),866
2021-4-19-Internet CVR (S),920
2021-4-26-Internet CVR (S),883
2021-5-3-Internet CVR (S),1017
2021-5-10-Internet CVR (S),965
2021-5-17-Internet CVR (S),906
2021-5-24-Internet CVR (S),1364
2021-5-31-Internet CVR (S),1334
2021-6-7-Internet CVR (S),1795
2021-6-14-Internet CVR (S),1451
2021-6-21-Internet CVR (S),1473
2021-6-28-Internet CVR (S),2882
2021-7-5-Internet CVR (S),2380
2021-7-12-Internet CVR (S),1599
2021-7-19-Internet CVR (S),2671
2021-7-26-Internet CVR (S),2151
2021-8-2-Internet CVR (S),2216
2021-8-9-Internet CVR (S),2136
2021-8-16-Internet CVR (S),2260
2021-8-23-Internet CVR (S),2300
2021-8-30-Internet CVR (S),2934
2021-9-6-Internet CVR (S),2224
2021-9-13-Internet CVR (S),2195
2021-9-20-Internet CVR (S),2177
2021-9-27-Internet CVR (S),2284
2021-10-4-Internet CVR (S),2367
2021-10-11-Internet CVR (S),2289
2021-10-18-Internet CVR (S),2141
2021-10-25-Internet CVR (S),2125
2021-11-1-Internet CVR (S),323
2021-11-8-Internet CVR (S),448
2021-11-15-Internet CVR (S),444
2021-11-22-Internet CVR (S),323
2021-11-29-Internet CVR (S),334
2021-12-6-Internet CVR (S),2221
2021-12-13-Internet CVR (S),2200
2021-12-20-Internet CVR (S),1950
2021-12-27-Internet CVR (S),2048
