,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1244,0.00%,0.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,0.30%,0.33%,0.73%,0.30%,0.10%,1.27%,0.04%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,0.13%,0.41%,0.44%,0.52%,0.37%,0.40%,0.30%,0.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,0.53%,0.67%,0.53%,0.52%,0.47%,0.50%,0.58%,0.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,0.23%,0.22%,0.37%,0.22%,0.31%,0.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,0.09%,0.30%,0.22%,0.27%,0.20%,0.19%,0.22%,0.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,0.27%,0.31%,0.28%,0.31%,0.32%,0.35%,0.29%,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,0.14%,0.12%,0.27%,0.28%,0.17%,0.14%,0.15%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,0.45%,0.08%,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,0.10%,0.13%,0.11%,0.11%,0.09%,0.11%,0.09%,0.10%,0.08%,0.09%,0.14%,0.22%,0.22%,0.27%,0.22%,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,0.37%,0.45%,0.37%,0.35%,0.32%,0.43%,0.32%,0.33%,0.38%,0.37%,0.34%,0.38%,0.33%,0.39%,0.36%,0.64%,0.40%,0.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,0.21%,0.21%,0.19%,0.28%,0.24%,0.22%,0.17%,0.17%,0.17%,0.21%,0.20%,0.25%,0.22%,0.26%,0.27%,0.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,0.27%,0.22%,0.26%,0.12%,0.13%,0.30%,0.17%,0.13%,0.00%,0.11%,0.12%,0.15%,0.19%,0.12%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,0.13%,0.16%,0.11%,0.17%,0.15%,0.17%,0.13%,0.15%,0.11%,0.13%,0.18%,0.18%,0.27%,0.22%,0.18%,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,0.10%,0.08%,0.08%,0.08%,0.08%,0.09%,0.09%,0.07%,0.08%,0.10%,0.29%,0.20%,0.27%,0.20%,0.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,0.32%,0.28%,0.25%,0.27%,0.30%,0.27%,0.31%,0.16%,0.32%,0.31%,0.27%,0.29%,0.34%,0.29%,0.47%,0.33%,0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,0.21%,0.16%,0.22%,0.22%,0.17%,0.15%,0.15%,0.16%,0.16%,0.17%,0.25%,0.23%,0.22%,0.23%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,0.30%,0.64%,0.17%,0.09%,0.22%,0.12%,0.08%,0.07%,0.13%,0.36%,0.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,0.12%,0.09%,0.12%,0.13%,0.14%,0.10%,0.12%,0.09%,0.12%,0.13%,0.15%,0.22%,0.19%,0.17%,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,0.51%,0.61%,0.86%,0.82%,0.52%,0.43%,0.61%,0.62%,0.48%,0.54%,0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,0.42%,0.52%,0.59%,0.62%,0.41%,0.34%,0.48%,0.46%,0.37%,0.45%,0.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,0.23%,0.37%,0.42%,0.42%,0.35%,0.24%,0.38%,0.39%,0.33%,0.34%,0.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,0.26%,0.26%,0.32%,0.28%,0.21%,0.28%,0.31%,0.31%,0.25%,0.34%,0.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
