,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
3757,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3758,0.00%,0.00%,1.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.44%,0.39%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3759,1.28%,0.00%,0.72%,0.00%,0.00%,0.00%,0.72%,0.00%,0.00%,0.00%,0.96%,0.00%,1.13%,0.00%,0.85%,1.50%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3760,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3761,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3762,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3763,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3764,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3765,0.00%,2.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3766,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3767,0.00%,0.00%,0.40%,0.00%,0.00%,1.21%,0.00%,0.00%,0.00%,1.43%,0.00%,0.00%,0.00%,0.00%,1.09%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3768,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.44%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3769,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3770,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3771,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3772,0.50%,0.00%,0.33%,0.26%,0.63%,0.30%,0.32%,0.00%,0.29%,0.26%,0.27%,0.36%,0.26%,0.52%,0.54%,0.72%,0.35%,0.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773,0.81%,0.84%,0.64%,0.45%,0.79%,0.58%,0.51%,0.25%,0.42%,0.67%,0.67%,0.56%,0.00%,0.83%,0.27%,0.46%,0.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3774,0.00%,0.96%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3775,0.00%,26.45%,15.29%,0.00%,0.00%,0.00%,0.00%,0.00%,16.03%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3776,0.00%,0.18%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.46%,0.47%,0.20%,0.30%,0.00%,0.61%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
