,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
40,$1 ,$116 ,$299 ,$226 ,$358 ,$531 ,$297 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,$6 ,$4 ,$2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,$24 ,$19 ,$11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,$2 ,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,$12 ,$14 ,$9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,$6 ,$5 ,$3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,$4 ,$2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,$177 ,$243 ,$409 ,"$3,144 ","$1,834 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,$2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,$356 ,$878 ,$965 ,$571 ,"$5,869 ","$1,380 ",$450 ,$170 ,$40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"$6,577 ","$17,136 ","$16,985 ","$16,871 ","$17,323 ","$11,146 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"$1,587 ","$5,380 ","$5,598 ","$5,521 ","$4,737 ","$3,974 ","$3,053 ","$3,138 ","$2,262 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,$453 ,"$1,385 ","$1,494 ","$1,525 ","$1,145 ",$731 ,$561 ,$597 ,$507 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"$5,270 ","$16,860 ","$16,936 ","$12,253 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"$1,406 ","$2,492 ","$3,804 ","$3,713 ","$2,610 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,$329 ,$664 ,$872 ,$745 ,$410 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,$298 ,$155 ,$248 ,$465 ,$282 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,$14 ,$8 ,$2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,$30 ,$18 ,$7 ,$4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
